id,title,duration,difficulty Level
117,Predictive Analytics,19,Intermediate
118,Reinforcement Learning Techniques,12,Intermediate
119,AI for Business,20,Intermediate
120,AI in IoT,11,Advanced
121,Introduction to UI/UX Design,13,Intermediate
122,User Research Techniques,19,Intermediate
123,Wireframing and Prototyping,6,Beginner
124,Usability Testing,19,Beginner
125,Interaction Design Principles,12,Advanced
126,Visual Design Basics,12,Intermediate
127,Responsive Design Principles,6,Advanced
128,Design Thinking Process,8,Intermediate
129,Mobile App Design,11,Intermediate
130,Design Tools Overview,7,Intermediate
131,Introduction to IT Support,19,Advanced
132,Networking Basics,6,Beginner
133,Troubleshooting Techniques,11,Intermediate
134,Operating Systems Overview,20,Beginner
135,Customer Service Skills for IT,8,Intermediate
136,Hardware Repair Skills,20,Advanced
137,Cloud Support Fundamentals,19,Beginner
138,Security Awareness for IT Support,17,Advanced
139,Remote Support Techniques,13,Advanced
140,ITIL Foundations,8,Advanced
141,Project Management Basics,17,Intermediate
142,Agile Project Management,16,Advanced
143,Risk Management in Projects,17,Beginner
144,Project Scheduling Techniques,19,Intermediate
145,Budgeting for Projects,19,Beginner
146,Stakeholder Management,11,Intermediate
147,Quality Management,19,Advanced
148,Communication Skills for Project Managers,16,Beginner
149,Change Management,9,Advanced
150,Project Management Tools Overview,13,Intermediate
151,Sales Fundamentals,11,Beginner
152,Building Customer Relationships,7,Advanced
153,Negotiation Techniques,16,Intermediate
154,Closing Sales Strategies,8,Beginner
155,Sales Analytics,14,Advanced
156,Digital Sales Techniques,16,Advanced
157,Customer Service Excellence,15,Intermediate
158,Presentation Skills for Sales,19,Beginner
159,Time Management for Sales,19,Advanced
160,Understanding Consumer Behavior,8,Beginner
161,Introduction to Business Analysis,16,Intermediate
162,Requirements Gathering Techniques,18,Beginner
163,Business Process Modeling,10,Beginner
164,Stakeholder Analysis,20,Advanced
165,SWOT Analysis for Business,13,Advanced
166,Data Analysis for Business Decisions,7,Advanced
167,Change Management Strategies,18,Advanced
168,Risk Analysis and Management,9,Beginner
169,Business Case Development,18,Advanced
170,Presentation Skills for Business Analysts,10,Advanced
171,Introduction to Human Resources,7,Advanced
172,Talent Acquisition Strategies,17,Intermediate
173,Employee Engagement Techniques,10,Advanced
174,Performance Management Systems,19,Intermediate
175,HR Analytics,17,Advanced
176,Labor Laws and Compliance,9,Beginner
177,Training and Development,14,Advanced
178,Diversity and Inclusion Initiatives,16,Beginner
179,Conflict Resolution in HR,15,Beginner
180,HR Technology Tools,8,Advanced
181,Introduction to Finance,11,Advanced
182,Financial Analysis Techniques,8,Beginner
183,Budgeting Basics,13,Beginner
184,Investing Fundamentals,6,Beginner
185,Risk Management in Finance,7,Intermediate
186,Financial Reporting Standards,16,Intermediate
187,Corporate Finance Essentials,13,Beginner
188,Personal Finance Skills,7,Intermediate
189,Understanding Financial Markets,17,Advanced
190,Financial Planning and Forecasting,11,Beginner
191,Introduction to Content Creation,20,Intermediate
192,Video Production Basics,13,Beginner
193,Podcasting Fundamentals,17,Advanced
194,Blogging for Beginners,10,Intermediate
195,Content Strategy Development,14,Advanced
196,SEO for Content Creators,18,Beginner
197,Social Media Content Creation,8,Advanced
198,Graphic Design Basics for Content,7,Intermediate
199,Editing and Proofreading Techniques,9,Intermediate
200,Content Promotion Strategies,7,Intermediate
